title,year released,rating
The Godfather,1972,9.2
The Shawshank Redemption,1994,9.3
Schindler's List,1993,9
Raging Bull,1980,8.2
Casablanca,1942,8.5
Citizen Kane,1941,8.3
Gone with the Wind,1939,8.2
The Wizard of Oz,1939,8.1
One Flew Over the Cuckoo's Nest,1975,8.7
Lawrence of Arabia,1962,8.3
Vertigo,1958,8.3
Psycho,1960,8.5
The Godfather Part II,1974,9
On the Waterfront,1954,8.1
Sunset Blvd.,1950,8.4
Forrest Gump,1994,8.8
The Sound of Music,1965,8.1
12 Angry Men,1957,9
West Side Story,1961,7.6
Star Wars,1977,8.6
2001: A Space Odyssey,1968,8.3
E.T.,1982,7.9
The Silence of the Lambs,1991,8.6
Chinatown,1974,8.2
The Bridge on the River Kwai,1957,8.2
Singin' in the Rain,1952,8.3
It's a Wonderful Life,1946,8.6
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4
Some Like It Hot,1959,8.2
Ben-Hur,1959,8.1
Apocalypse Now,1979,8.5
Amadeus,1984,8.4
The Lord of the Rings: The Return of the King,2003,9
Gladiator,2000,8.5
Titanic,1997,7.9
From Here to Eternity,1953,7.6
Saving Private Ryan,1998,8.6
Unforgiven,1992,8.2
Raiders of the Lost Ark,1981,8.4
Rocky,1976,8.1
A Streetcar Named Desire,1951,7.9
The Philadelphia Story,1940,7.9
To Kill a Mockingbird,1962,8.3
An American in Paris,1951,7.2
The Best Years of Our Lives,1946,8.1
My Fair Lady,1964,7.8
A Clockwork Orange,1971,8.3
Doctor Zhivago,1965,7.9
The Searchers,1956,7.9
Jaws,1975,8.1
Patton,1970,7.9
Butch Cassidy and the Sundance Kid,1969,8
The Treasure of the Sierra Madre,1948,8.2
"The Good, the Bad and the Ugly",1966,8.8
The Apartment,1960,8.3
Platoon,1986,8.1
High Noon,1952,8
Braveheart,1995,8.4
Dances with Wolves,1990,8
Jurassic Park,1993,8.2
The Exorcist,1973,8.1
The Pianist,2002,8.5
Goodfellas,1990,8.7
The Deer Hunter,1978,8.1
All Quiet on the Western Front,1930,8.1
Bonnie and Clyde,1967,7.7
The French Connection,1971,7.7
City Lights,1931,8.5
It Happened One Night,1934,8.1
A Place in the Sun,1951,7.7
Midnight Cowboy,1969,7.8
Mr. Smith Goes to Washington,1939,8.1
Rain Man,1988,8
Annie Hall,1977,8
Fargo,1996,8.1
Giant,1956,7.6
Shane,1953,7.6
The Grapes of Wrath,1940,8.1
The Green Mile,1999,8.6
Close Encounters of the Third Kind,1977,7.6
Nashville,1975,7.6
Network,1976,8.1
The Graduate,1967,8
American Graffiti,1973,7.4
Pulp Fiction,1994,8.9
Terms of Endearment,1983,7.4
Good Will Hunting,1997,8.3
The African Queen,1951,7.7
Stagecoach,1939,7.8
Mutiny on the Bounty,1935,7.6
The Great Dictator,1940,8.4
Double Indemnity,1944,8.3
The Maltese Falcon,1941,8
Wuthering Heights,1939,7.5
Taxi Driver,1976,8.2
Rear Window,1954,8.5
The Third Man,1949,8.1
Rebel Without a Cause,1955,7.6
North by Northwest,1959,8.3
Yankee Doodle Dandy,1942,7.6
